image_id,image_path,true_label,predicted_probability,predicted_label_at_0_5,model_name,split,predicted_label,error_type
IMG0000319.jpg,data/FracAtlas/images/IMG0000319.jpg,1,0.4823,0,resnet50,test,0,FN
IMG0002438.jpg,data/FracAtlas/images/IMG0002438.jpg,1,0.1032,0,resnet50,test,0,FN
IMG0002307.jpg,data/FracAtlas/images/IMG0002307.jpg,1,0.0825,0,resnet50,test,0,FN
IMG0000155.jpg,data/FracAtlas/images/IMG0000155.jpg,1,0.4694,0,resnet50,test,0,FN
IMG0000151.jpg,data/FracAtlas/images/IMG0000151.jpg,1,0.1856,0,resnet50,test,0,FN
IMG0000751.jpg,data/FracAtlas/images/IMG0000751.jpg,1,0.3027,0,resnet50,test,0,FN
IMG0000851.jpg,data/FracAtlas/images/IMG0000851.jpg,1,0.3008,0,resnet50,test,0,FN
IMG0002705.jpg,data/FracAtlas/images/IMG0002705.jpg,1,0.0615,0,resnet50,test,0,FN
IMG0002348.jpg,data/FracAtlas/images/IMG0002348.jpg,1,0.0721,0,resnet50,test,0,FN
IMG0002105.jpg,data/FracAtlas/images/IMG0002105.jpg,1,0.3931,0,resnet50,test,0,FN
IMG0002437.jpg,data/FracAtlas/images/IMG0002437.jpg,1,0.0218,0,resnet50,test,0,FN
IMG0002998.jpg,data/FracAtlas/images/IMG0002998.jpg,1,0.359,0,resnet50,test,0,FN
IMG0001007.jpg,data/FracAtlas/images/IMG0001007.jpg,1,0.3455,0,resnet50,test,0,FN
IMG0003131.jpg,data/FracAtlas/images/IMG0003131.jpg,1,0.4454,0,resnet50,test,0,FN
IMG0001200.jpg,data/FracAtlas/images/IMG0001200.jpg,1,0.5531,1,resnet50,test,0,FN
IMG0003077.jpg,data/FracAtlas/images/IMG0003077.jpg,1,0.0102,0,resnet50,test,0,FN
IMG0002106.jpg,data/FracAtlas/images/IMG0002106.jpg,1,0.3075,0,resnet50,test,0,FN
IMG0003626.jpg,data/FracAtlas/images/IMG0003626.jpg,1,0.1157,0,resnet50,test,0,FN
IMG0002501.jpg,data/FracAtlas/images/IMG0002501.jpg,1,0.4362,0,resnet50,test,0,FN
IMG0002551.jpg,data/FracAtlas/images/IMG0002551.jpg,1,0.4853,0,resnet50,test,0,FN
IMG0002591.jpg,data/FracAtlas/images/IMG0002591.jpg,1,0.2374,0,resnet50,test,0,FN
IMG0003001.jpg,data/FracAtlas/images/IMG0003001.jpg,1,0.5098,1,resnet50,test,0,FN
IMG0002621.jpg,data/FracAtlas/images/IMG0002621.jpg,1,0.2352,0,resnet50,test,0,FN
IMG0003519.jpg,data/FracAtlas/images/IMG0003519.jpg,1,0.4515,0,resnet50,test,0,FN
IMG0002550.jpg,data/FracAtlas/images/IMG0002550.jpg,1,0.4013,0,resnet50,test,0,FN
IMG0002704.jpg,data/FracAtlas/images/IMG0002704.jpg,1,0.2514,0,resnet50,test,0,FN
IMG0003524.jpg,data/FracAtlas/images/IMG0003524.jpg,1,0.5147,1,resnet50,test,0,FN
IMG0002617.jpg,data/FracAtlas/images/IMG0002617.jpg,1,0.1285,0,resnet50,test,0,FN
IMG0003157.jpg,data/FracAtlas/images/IMG0003157.jpg,1,0.4191,0,resnet50,test,0,FN
